time	I(CL)+I(RL)
7.815383024466826e-04	5.994903e-02
7.816383024466826e-04	5.994905e-02
7.817383024466825e-04	5.994906e-02
7.818383024466825e-04	5.994907e-02
7.819383024466824e-04	5.994908e-02
7.820383024466824e-04	5.994909e-02
7.821383024466823e-04	5.994910e-02
7.822383024466823e-04	5.994912e-02
7.823383024466822e-04	5.994913e-02
7.824383024466822e-04	5.994914e-02
7.825383024466821e-04	5.994915e-02
7.826383024466821e-04	5.994916e-02
7.827383024466820e-04	5.994917e-02
7.828383024466820e-04	5.994919e-02
7.829383024466819e-04	5.994920e-02
7.830383024466819e-04	5.994921e-02
7.831383024466818e-04	5.994922e-02
7.832383024466818e-04	5.994923e-02
7.833383024466817e-04	5.994924e-02
7.834383024466816e-04	5.994925e-02
7.835383024466816e-04	5.994926e-02
7.836383024466815e-04	5.994928e-02
7.837383024466815e-04	5.994929e-02
7.838383024466814e-04	5.994930e-02
7.839383024466814e-04	5.994931e-02
7.840383024466813e-04	5.994932e-02
7.841383024466813e-04	5.994934e-02
7.842383024466812e-04	5.994935e-02
7.843383024466812e-04	5.994936e-02
7.844383024466811e-04	5.994937e-02
7.845383024466811e-04	5.994938e-02
7.846383024466810e-04	5.994939e-02
7.847383024466810e-04	5.994940e-02
7.848383024466809e-04	5.994941e-02
7.849383024466809e-04	5.994943e-02
7.850383024466808e-04	5.994944e-02
7.851383024466808e-04	5.994945e-02
7.852383024466807e-04	5.994946e-02
7.853383024466807e-04	5.994947e-02
7.854383024466806e-04	5.994948e-02
7.855383024466806e-04	5.994949e-02
7.856383024466805e-04	5.994950e-02
7.857383024466805e-04	5.994952e-02
7.858383024466804e-04	5.994953e-02
7.859383024466804e-04	5.994954e-02
7.860383024466803e-04	5.994955e-02
7.861383024466802e-04	5.994957e-02
7.862383024466802e-04	5.994958e-02
7.863383024466801e-04	5.994959e-02
7.864383024466801e-04	5.994960e-02
7.865383024466800e-04	5.994961e-02
7.866383024466800e-04	5.994962e-02
7.867383024466799e-04	5.994963e-02
7.868383024466799e-04	5.994964e-02
7.869383024466798e-04	5.994965e-02
7.870383024466798e-04	5.994967e-02
7.871383024466797e-04	5.994968e-02
7.872383024466797e-04	5.994969e-02
7.873383024466796e-04	5.994970e-02
7.874383024466796e-04	5.994971e-02
7.875383024466795e-04	5.994972e-02
7.876383024466795e-04	5.994973e-02
7.877383024466794e-04	5.994975e-02
7.878383024466794e-04	5.994976e-02
7.879383024466793e-04	5.994977e-02
7.880383024466793e-04	5.994978e-02
7.881383024466792e-04	5.994979e-02
7.882383024466792e-04	5.994980e-02
7.883383024466791e-04	5.994981e-02
7.884383024466791e-04	5.994983e-02
7.885383024466790e-04	5.994984e-02
7.886383024466790e-04	5.994985e-02
7.887383024466789e-04	5.994986e-02
7.888383024466789e-04	5.994987e-02
7.889383024466788e-04	5.994988e-02
7.890383024466787e-04	5.994989e-02
7.891383024466787e-04	5.994990e-02
7.892383024466786e-04	5.994992e-02
7.893383024466786e-04	5.994993e-02
7.894383024466785e-04	5.994994e-02
7.895383024466785e-04	5.994995e-02
7.896383024466784e-04	5.994996e-02
7.897383024466784e-04	5.994997e-02
7.898383024466783e-04	5.994999e-02
7.899383024466783e-04	5.995000e-02
7.900383024466782e-04	5.995001e-02
7.901383024466782e-04	5.995002e-02
7.902383024466781e-04	5.995003e-02
7.903383024466781e-04	5.995004e-02
7.904383024466780e-04	5.995005e-02
7.905383024466780e-04	5.995006e-02
7.906383024466779e-04	5.995007e-02
7.907383024466779e-04	5.995009e-02
7.908383024466778e-04	5.995010e-02
7.909383024466778e-04	5.995011e-02
7.910383024466777e-04	5.995012e-02
7.911383024466777e-04	5.995013e-02
7.912383024466776e-04	5.995014e-02
7.913383024466776e-04	5.995016e-02
7.914383024466775e-04	5.995017e-02
7.915383024466775e-04	5.995018e-02
7.916383024466774e-04	5.995019e-02
7.917383024466774e-04	5.995020e-02
7.918383024466773e-04	5.995021e-02
7.919383024466772e-04	5.995022e-02
7.920383024466772e-04	5.995023e-02
7.921383024466771e-04	5.995024e-02
7.922383024466771e-04	5.995026e-02
7.923383024466770e-04	5.995027e-02
7.924383024466770e-04	5.995028e-02
7.925383024466769e-04	5.995029e-02
7.926383024466769e-04	5.995030e-02
7.927383024466768e-04	5.995031e-02
7.928383024466768e-04	5.995033e-02
7.929383024466767e-04	5.995034e-02
7.930383024466767e-04	5.995035e-02
7.931383024466766e-04	5.995036e-02
7.932383024466766e-04	5.995037e-02
7.933383024466765e-04	5.995038e-02
7.934383024466765e-04	5.995039e-02
7.935383024466764e-04	5.995040e-02
7.936383024466764e-04	5.995041e-02
7.937383024466763e-04	5.995042e-02
7.938383024466763e-04	5.995044e-02
7.939383024466762e-04	5.995045e-02
7.940383024466762e-04	5.995046e-02
7.941383024466761e-04	5.995047e-02
7.942383024466761e-04	5.995048e-02
7.943383024466760e-04	5.995049e-02
7.944383024466760e-04	5.995050e-02
7.945383024466759e-04	5.995052e-02
7.946383024466758e-04	5.995053e-02
7.947383024466758e-04	5.995054e-02
7.948383024466757e-04	5.995055e-02
7.949383024466757e-04	5.995056e-02
7.950383024466756e-04	5.995057e-02
7.951383024466756e-04	5.995058e-02
7.952383024466755e-04	5.995059e-02
7.953383024466755e-04	5.995061e-02
7.954383024466754e-04	5.995062e-02
7.955383024466754e-04	5.995063e-02
7.956383024466753e-04	5.995064e-02
7.957383024466753e-04	5.995065e-02
7.958383024466752e-04	5.995066e-02
7.959383024466752e-04	5.995067e-02
7.960383024466751e-04	5.995068e-02
7.961383024466751e-04	5.995069e-02
7.962383024466750e-04	5.995071e-02
7.963383024466750e-04	5.995072e-02
7.964383024466749e-04	5.995073e-02
7.965383024466749e-04	5.995074e-02
7.966383024466748e-04	5.995075e-02
7.967383024466748e-04	5.995076e-02
7.968383024466747e-04	5.995078e-02
7.969383024466747e-04	5.995079e-02
7.970383024466746e-04	5.995080e-02
7.971383024466746e-04	5.995081e-02
7.972383024466745e-04	5.995082e-02
