time	I(CL)+I(RL)
1.881277989730080e-03	-5.886819e-02
1.881377989730080e-03	-5.886816e-02
1.881477989730080e-03	-5.886813e-02
1.881577989730080e-03	-5.886810e-02
1.881677989730080e-03	-5.886807e-02
1.881777989730080e-03	-5.886804e-02
1.881877989730080e-03	-5.886801e-02
1.881977989730080e-03	-5.886798e-02
1.882077989730080e-03	-5.886795e-02
1.882177989730080e-03	-5.886792e-02
1.882277989730080e-03	-5.886789e-02
1.882377989730080e-03	-5.886786e-02
1.882477989730080e-03	-5.886783e-02
1.882577989730081e-03	-5.886780e-02
1.882677989730081e-03	-5.886777e-02
1.882777989730081e-03	-5.886774e-02
1.882877989730081e-03	-5.886771e-02
1.882977989730081e-03	-5.886768e-02
1.883077989730081e-03	-5.886765e-02
1.883177989730081e-03	-5.886762e-02
1.883277989730081e-03	-5.886759e-02
1.883377989730081e-03	-5.886756e-02
1.883477989730081e-03	-5.886753e-02
1.883577989730081e-03	-5.886750e-02
1.883677989730081e-03	-5.886747e-02
1.883777989730081e-03	-5.886744e-02
1.883877989730081e-03	-5.886741e-02
1.883977989730081e-03	-5.886738e-02
1.884077989730081e-03	-5.886735e-02
1.884177989730081e-03	-5.886732e-02
1.884277989730081e-03	-5.886729e-02
1.884377989730082e-03	-5.886726e-02
1.884477989730082e-03	-5.886723e-02
1.884577989730082e-03	-5.886720e-02
1.884677989730082e-03	-5.886717e-02
1.884777989730082e-03	-5.886714e-02
1.884877989730082e-03	-5.886711e-02
1.884977989730082e-03	-5.886708e-02
1.885077989730082e-03	-5.886705e-02
1.885177989730082e-03	-5.886702e-02
1.885277989730082e-03	-5.886699e-02
1.885377989730082e-03	-5.886696e-02
1.885477989730082e-03	-5.886693e-02
1.885577989730082e-03	-5.886690e-02
1.885677989730082e-03	-5.886687e-02
1.885777989730082e-03	-5.886684e-02
1.885877989730082e-03	-5.886681e-02
1.885977989730082e-03	-5.886678e-02
1.886077989730083e-03	-5.886675e-02
1.886177989730083e-03	-5.886672e-02
1.886277989730083e-03	-5.886669e-02
1.886377989730083e-03	-5.886666e-02
1.886477989730083e-03	-5.886663e-02
1.886577989730083e-03	-5.886660e-02
1.886677989730083e-03	-5.886657e-02
1.886777989730083e-03	-5.886654e-02
1.886877989730083e-03	-5.886651e-02
1.886977989730083e-03	-5.886648e-02
1.887077989730083e-03	-5.886645e-02
1.887177989730083e-03	-5.886642e-02
1.887277989730083e-03	-5.886639e-02
1.887377989730083e-03	-5.886636e-02
1.887477989730083e-03	-5.886633e-02
1.887577989730083e-03	-5.886630e-02
1.887677989730083e-03	-5.886627e-02
1.887777989730083e-03	-5.886624e-02
1.887877989730084e-03	-5.886621e-02
1.887977989730084e-03	-5.886618e-02
1.888077989730084e-03	-5.886615e-02
1.888177989730084e-03	-5.886612e-02
1.888277989730084e-03	-5.886609e-02
1.888377989730084e-03	-5.886606e-02
1.888477989730084e-03	-5.886603e-02
1.888577989730084e-03	-5.886600e-02
1.888677989730084e-03	-5.886597e-02
1.888777989730084e-03	-5.886594e-02
1.888877989730084e-03	-5.886592e-02
1.888977989730084e-03	-5.886589e-02
1.889077989730084e-03	-5.886586e-02
1.889177989730084e-03	-5.886583e-02
1.889277989730084e-03	-5.886580e-02
1.889377989730084e-03	-5.886577e-02
1.889477989730084e-03	-5.886574e-02
1.889577989730084e-03	-5.886571e-02
