Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
7.96214341106995e+01	(9.97281887707375e+01dB,-8.99105069136769e+01°)
1.00237446725454e+02	(9.77281931660974e+01dB,-8.99317584896656e+01°)
1.26191468896039e+02	(9.57281958741977e+01dB,-8.99493759736505e+01°)
1.58865646944856e+02	(9.37281974796024e+01dB,-8.99642975524601e+01°)
2.00000000000000e+02	(9.17281983288928e+01dB,-8.99773178531286e+01°)
2.51785082358834e+02	(8.97281986053555e+01dB,-8.99891302461846e+01°)
3.16978638492223e+02	(8.77281983685974e+01dB,-9.00003637854988e+01°)
3.99052462993776e+02	(8.57281975676518e+01dB,-9.00116166957520e+01°)
5.02377286301916e+02	(8.37281960294883e+01dB,-9.00234882304300e+01°)
6.32455532033676e+02	(8.17281934222170e+01dB,-9.00366105870748e+01°)
7.96214341106995e+02	(7.97281891829476e+01dB,-9.00516825664753e+01°)
1.00237446725455e+03	(7.77281823967515e+01dB,-9.00695067811237e+01°)
1.26191468896039e+03	(7.57281715987665e+01dB,-9.00910323860035e+01°)
1.58865646944856e+03	(7.37281544583323e+01dB,-9.01174055988899e+01°)
2.00000000000000e+03	(7.17281272758982e+01dB,-9.01500306925718e+01°)
2.51785082358834e+03	(6.97280841845348e+01dB,-9.01906446781430e+01°)
3.16978638492223e+03	(6.77280158839434e+01dB,-9.02414096132543e+01°)
3.99052462993776e+03	(6.57279076342196e+01dB,-9.03050273479875e+01°)
5.02377286301917e+03	(6.37277360763513e+01dB,-9.03848826317771e+01°)
6.32455532033677e+03	(6.17274641965259e+01dB,-9.04852218112937e+01°)
7.96214341106996e+03	(5.97270333522213e+01dB,-9.06113758694127e+01°)
1.00237446725455e+04	(5.77263506532167e+01dB,-9.07700381497025e+01°)
1.26191468896039e+04	(5.57252690088489e+01dB,-9.09696085047265e+01°)
1.58865646944857e+04	(5.37235556239920e+01dB,-9.12206161282882e+01°)
2.00000000000000e+04	(5.17208423657133e+01dB,-9.15362315487587e+01°)
2.51785082358834e+04	(4.97165478418738e+01dB,-9.19328712302142e+01°)
3.16978638492223e+04	(4.77097557582411e+01dB,-9.24308801022179e+01°)
3.99052462993777e+04	(4.56990267291770e+01dB,-9.30552368482008e+01°)
5.02377286301917e+04	(4.36821113767102e+01dB,-9.38361431727715e+01°)
6.32455532033677e+04	(4.16555233600710e+01dB,-9.48091957804732e+01°)
7.96214341106996e+04	(3.96139293051328e+01dB,-9.60145443599558e+01°)
1.00237446725455e+05	(3.75493378239153e+01dB,-9.74939513503433e+01°)
1.26191468896039e+05	(3.54501641192894e+01dB,-9.92839976460711e+01°)
1.58865646944857e+05	(3.33004818178938e+01dB,-1.01403117297851e+02°)
2.00000000000000e+05	(3.10802175028099e+01dB,-1.03830725779014e+02°)
2.51785082358834e+05	(2.87676005532012e+01dB,-1.06480601353001e+02°)
3.16978638492223e+05	(2.63452607044442e+01dB,-1.09180042666791e+02°)
3.99052462993777e+05	(2.38097779163308e+01dB,-1.11678088529816e+02°)
5.02377286301917e+05	(2.11807159397127e+01dB,-1.13705629066172e+02°)
6.32455532033677e+05	(1.85019406630009e+01dB,-1.15080734143150e+02°)
7.96214341106997e+05	(1.58305447822497e+01dB,-1.15806847757091e+02°)
1.00237446725455e+06	(1.32174405334993e+01dB,-1.16098710019560e+02°)
1.26191468896039e+06	(1.06906072855197e+01dB,-1.16317810874479e+02°)
1.58865646944857e+06	(8.24946170613874e+00dB,-1.16863876650824e+02°)
2.00000000000001e+06	(5.86969173292630e+00dB,-1.18087020155348e+02°)
2.51785082358834e+06	(3.51175656669390e+00dB,-1.20248527351741e+02°)
3.16978638492224e+06	(1.12750334939123e+00dB,-1.23514963905543e+02°)
3.99052462993777e+06	(-1.33585571984924e+00dB,-1.27957834853153e+02°)
5.02377286301918e+06	(-3.93180744499180e+00dB,-1.33546199677025e+02°)
6.32455532033678e+06	(-6.70788370149200e+00dB,-1.40143425272347e+02°)
7.96214341106997e+06	(-9.69630146998454e+00dB,-1.47535332622596e+02°)
1.00237446725455e+07	(-1.29057427466988e+01dB,-1.55510851961775e+02°)
1.26191468896039e+07	(-1.63187418803403e+01dB,-1.63988324116517e+02°)
1.58865646944857e+07	(-1.98934870040820e+01dB,-1.73161742944958e+02°)
2.00000000000001e+07	(-2.35593266288679e+01dB,1.76345686442716e+02°)
2.51785082358834e+07	(-2.71856306344401e+01dB,1.63353521856620e+02°)
3.16978638492224e+07	(-3.05090695461405e+01dB,1.46349178026507e+02°)
3.99052462993777e+07	(-3.31367385395711e+01dB,1.25208063495181e+02°)
5.02377286301918e+07	(-3.49442898603713e+01dB,1.05035446800263e+02°)
6.32455532033678e+07	(-3.58196821522627e+01dB,9.56720996683627e+01°)
7.96214341106997e+07	(-3.50873173084283e+01dB,9.54806592409138e+01°)
1.00000000000000e+08	(-3.34685739320555e+01dB,9.68673465618510e+01°)
Step Information: Cl=10n  (Step: 6/15)
2.00000000000000e+01	(1.11728009282812e+02dB,-8.96209015142832e+01°)
2.51785082358833e+01	(1.09728080020255e+02dB,-8.96995928657200e+01°)
3.16978638492223e+01	(1.07728124649029e+02dB,-8.97622877100975e+01°)
3.99052462993776e+01	(1.05728152801625e+02dB,-8.98123241179621e+01°)
5.02377286301916e+01	(1.03728170554509e+02dB,-8.98523664125141e+01°)
6.32455532033676e+01	(1.01728181739465e+02dB,-8.98845468394519e+01°)
7.96214341106995e+01	(9.97281887707994e+01dB,-8.99105790445961e+01°)
1.00237446725454e+02	(9.77281931661946e+01dB,-8.99318492915101e+01°)
1.26191468896039e+02	(9.57281958743527e+01dB,-8.99494902884878e+01°)
1.58865646944856e+02	(9.37281974798488e+01dB,-8.99644414658380e+01°)
2.00000000000000e+02	(9.17281983292839e+01dB,-8.99774990289848e+01°)
